GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mutation-testing-example,tech.delia,CalendarService,0,29,0,6,0,7,0,5,0,2
mutation-testing-example,tech.delia,Sex,0,34,0,0,0,4,0,1,0,1
mutation-testing-example,tech.delia,Bird,0,53,0,0,0,17,0,9,0,9
mutation-testing-example,tech.delia,Species,0,54,0,0,0,6,0,1,0,1
